id,species_ori,vernacularName,scientificName,taxonRank,type,source_latest_only,species_code_ntu,species_nr,statusTW
472,滸鷸,彎嘴濱鷸,Calidris ferruginea,species,NA,名錄對照_大肚溪.xlsx(20170933),B0193,231,nonbreeding
473,鳩珠頸,珠頸斑鳩,Streptopelia chinensis,species,NA,名錄對照_大肚溪.xlsx(20170934),B0273,312,breed
474,小鸊鷈,小鸊鷉,Tachybaptus ruficollis,species,NA,名錄對照_大肚溪.xlsx(20170935),B0007,58,breed
475,丹氏禾犀鷸,丹氏濱鷸,Calidris temminckii,species,NA,名錄對照_大肚溪.xlsx(20170936),B0197,232,nonbreeding
476,黦鷸,黦鷸,Numenius madagascariensis,species,NA,名錄對照_大肚溪.xlsx(20170937),B0211,220,nonbreeding
477,魚狗(翠鳥),翠鳥,Alcedo atthis,species,NA,名錄對照_大肚溪.xlsx(20170938),B0307,362,breed
478,南洋八哥,八哥屬(黑八哥類),Acridotheres sp. (black myna sp.),genus,unknown common name,名錄對照_大肚溪.xlsx(20170939),NA,756,NA
479,尖尾鷸,尖尾濱鷸,Calidris acuminata,species,NA,名錄對照_大肚溪.xlsx(20170940),B0190,229,nonbreeding
480,諸曼氏青足鷸,諾氏鷸,Tringa guttifer,species,NA,名錄對照_大肚溪.xlsx(20170941),B0220,213,nonbreeding
481,小杓鷸,小杓鷸,Numenius minutus,species,NA,名錄對照_大肚溪.xlsx(20170942),B0212,218,nonbreeding
482,灰面鳩,灰面鵟鷹,Butastur indicus,species,NA,名錄對照_大肚溪.xlsx(20170943),B0118,144,nonbreeding
483,朱頸斑鳩(鳩珠頸),珠頸斑鳩,Streptopelia chinensis,species,NA,名錄對照_大肚溪.xlsx(20170944),B0273,312,breed
484,埃及聖鹮(神聖朱鷺),埃及聖䴉,Threskiornis aethiopicus,species,NA,名錄對照_大肚溪.xlsx(20170945),B0066,126,introduced
485,紅領瓣足鷸,紅領瓣足鷸,Phalaropus lobatus,species,NA,名錄對照_大肚溪.xlsx(20170946),B0237,251,nonbreeding
486,黃頭鷺(牛背鷺),黃頭鷺,Bubulcus ibis,species,NA,名錄對照_大肚溪.xlsx(20170947),B0042,116,breed
487,樹鹨,樹鷚,Anthus hodgsoni,species,NA,名錄對照_大肚溪.xlsx(20170949),B0464,688,nonbreeding
488,雲雀,百靈科,Alaudidae,family,NA,名錄對照_大肚溪.xlsx(20170950),NA,441,NA
489,老鷹,黑鳶,Milvus migrans,species,NA,名錄對照_大肚溪.xlsx(20170951),B0130,154,breed
490,灰澤鵟,灰澤鵟,Circus cyaneus,species,NA,名錄對照_大肚溪.xlsx(20170952),B0123,146,nonbreeding
491,褐頭鷦,褐頭鷦鶯,Prinia inornata,species,NA,名錄對照_大肚溪.xlsx(20170953),B0442,546,breed
492,赤頸鳧,赤頸鴨,Mareca penelope,species,NA,名錄對照_大肚溪.xlsx(20170954),B0075,19,nonbreeding
493,鈴鴨,斑背潛鴨,Aythya marila,species,NA,名錄對照_大肚溪.xlsx(20170955),B0088,35,nonbreeding
494,裡海燕鷗,裏海燕鷗,Hydroprogne caspia,species,NA,名錄對照_大肚溪.xlsx(20170956),B0261,294,nonbreeding
495,蒙古鐵嘴鴴,蒙古/鐵嘴鴴,Charadrius mongolus/leschenaultii,speciesComplex,NA,名錄對照_大肚溪.xlsx(20170957),NA,826,nonbreeding
496,澤鳧,鳳頭潛鴨,Aythya fuligula,species,NA,名錄對照_大肚溪.xlsx(20170958),B0087,34,nonbreeding
497,三趾鹬,三趾濱鷸,Calidris alba,species,NA,名錄對照_大肚溪.xlsx(20170959),B0199,236,nonbreeding
498,黑脊鷗,銀鷗,Larus argentatus,species,NA,名錄對照_大肚溪.xlsx(20170960),B0243,283,nonbreeding
499,巴鴨,巴鴨,Sibirionetta formosa,species,NA,名錄對照_大肚溪.xlsx(20170961),B0073,27,nonbreeding
